link,title,headline
https://nasional.tempo.co/read/1773083/lahan-rempang-harus-kosong-28-september-bahlil-sudah-diputuskan-sejak-awal,"Lahan Rempang Harus Kosong 28 September, Bahlil: Sudah Diputuskan Sejak Awal","Menteri Investasi/BKPM Bahlil Lahadalia mengatakan, persoalan tanggal pengosongan Pulau Rempang sudah menjadi pembicaran sejak awal."
https://metro.tempo.co/read/1773080/pengelola-museum-nasional-belum-hitung-kerugian-materiel-akibat-kebakaran,"Pengelola Museum Nasional Belum Hitung Kerugian Materiel Akibat Kebakaran","Kebakaran ini berdampak pada enam ruangan di Gedung A Museum Nasional"
https://nasional.tempo.co/read/1773079/waketum-gerindra-bicara-soal-kemungkinan-sby-masuk-tim-pemenangan-prabowo,"Waketum Gerindra Bicara soal Kemungkinan SBY Masuk Tim Pemenangan Prabowo","Waketum Gerindra Budi Djiwandono menanggapi ihwal Ketua Majelis Tinggi Partai Demokrat SBY akan masuk dalam Tim Pemenangan Prabowo"
https://dunia.tempo.co/read/1773076/para-perempuan-terpidana-mati-iran-bakar-penjara,"Para Perempuan Terpidana Mati Iran Bakar Penjara","Perempuan terpidana mati Iran ini memprotes manajemen penjara dengan membakar pakaian mereka."
https://bola.tempo.co/read/1773075/hasil-liga-1-persik-kediri-vs-persija-jakarta-1-2-gol-penalti-ondrej-kudela-bawa-macan-kemayoran-menang,"Hasil Liga 1: Persik Kediri vs Persija Jakarta 1-2, Gol Penalti Ondrej Kudela Bawa Macan Kemayoran Menang","Gol penalti Ondrej Kudela pada menit ke-90+6' menjadi penentu kemenangan Persija Jakarta atas Persik Kediri pada pekan ke-12 Liga 1."
https://gaya.tempo.co/read/1773033/manfaat-penggunaan-madu-untuk-kulit-wajah,"Manfaat Penggunaan Madu untuk Kulit Wajah","Kandungan antioksidan dalam madu membantu melawan kerusakan akibat radikal bebas dan penuaan dini."
https://gaya.tempo.co/read/1773074/peneliti-ungkap-orang-cenderung-cari-pasangan-yang-mirip-dari-segi-apa,"Peneliti Ungkap Orang Cenderung Cari Pasangan yang Mirip, dari Segi Apa?","Banyak yang mengaku memilih pasangan dengan sifat dan kesenangan yang berlawanan tapi penelitian menyebut kebanyakan pasangan memiliki kesamaan."
https://travel.tempo.co/read/1773068/7-kiat-menghalau-jet-lag-setelah-penerbangan-panjang,"7 Kiat Menghalau Jet Lag setelah Penerbangan Panjang","Langkah sederhana seperti memakai kacamata hitam atau menyikat gigi bisa membantu melawan gejala jet lag."
https://otomotif.tempo.co/read/1773073/carlos-sainz-menangi-f1-gp-singapura-max-verstappen-p5,"Carlos Sainz Menangi F1 GP Singapura, Max Verstappen P5","Ini adalah kemenangan perdana Carlos Sainz dan Ferrari di balap Formula 1 musim 2023."
https://fokus.tempo.co/read/1773072/jadi-tidak-jadi-razia-dan-tilang-emisi-di-jalanan-jakarta-begini-pernyataan-polda-dan-dki-hingga-saat-ini,"Jadi Tidak Jadi Razia dan Tilang Emisi di Jalanan Jakarta, Begini Pernyataan Polda dan DKI hingga Saat Ini","Kebijakan tilang emisi disebut membingungkan masyarakat. Kini sudah ada kebijakan baru terkait uji emisi diungkap Menteri Perhubungan."
https://sport.tempo.co/read/1773071/juara-hong-kong-open-2023-jonatan-christie-ungkap-kunci-kalahkan-kenta-nishimoto-di-final,"Juara Hong Kong Open 2023, Jonatan Christie Ungkap Kunci Kalahkan Kenta Nishimoto di Final","Jonatan Christie meraih gelar juara Hong Kong Open 2023 usai mengalahkan Kenta Nishimoto dengan skor 12-21, 22-20, 21-18 lewat 83 menit pertandingan."
https://metro.tempo.co/read/1773070/kebakaran-museum-nasional-polisi-akui-sulit-bedakan-antara-benda-bersejarah-dan-reruntuhan,"Kebakaran Museum Nasional, Polisi Akui Sulit Bedakan Antara Benda Bersejarah dan Reruntuhan","Polisi mengakui kesulitan melakukan identifikasi benda sejarah di Museum Nasional atau Museum Gajah"
https://bisnis.tempo.co/read/1773052/cara-naik-kelas-bpjs-kesehatan-dan-syaratnya,"Cara Naik Kelas BPJS Kesehatan dan Syaratnya","Perubahan kelas BPJS Kesehatan berlaku untuk satu keluarga dalam Kartu Keluarga sama yang sudah terdaftar sebagai peserta."
https://dunia.tempo.co/read/1773069/mengapa-india-ingin-ganti-nama-negara-jadi-bharat,"Mengapa India Ingin Ganti Nama Negara Jadi Bharat?","Pemerintah India dikabarkan ingin mengganti nama negaranya menjadi Bharat. Apa alasannya?"
https://gaya.tempo.co/read/1773066/olahraga-yang-boleh-dan-tidak-buat-penderita-gagal-ginjal,"Olahraga yang Boleh dan Tidak buat Penderita Gagal Ginjal","Pakar menjelaskan olahraga yang boleh dan tidak boleh dilakukan penderita gagal ginjal, termasuk yang baru transplantasi ginjal."
https://sport.tempo.co/read/1773065/rekap-hasil-hong-kong-open-2023-indonesia-raih-2-gelar-juara-denmark-cina-jepang-1-gelar,"Rekap Hasil Hong Kong Open 2023: Indonesia Raih 2 Gelar Juara; Denmark, Cina, Jepang 1 Gelar","Indonesia meraih dua galer juara di Hong Kong Open 2023. Gelar lainnya direbut Denmark, Cina, dan Jepang."
https://travel.tempo.co/read/1773063/serunya-kulineran-di-pinggir-kali-ledek-sleman-yogyakarta-yang-bernuansapasar-tempo-dulu,"Serunya Kulineran di Pinggir Kali Ledek Sleman Yogyakarta yang Bernuansa  Pasar Tempo Dulu","Pasar di tepi Kali Ledek, Sleman, Yogyakarta, menawarkan sederet menu jadul yang menggoda lidah untuk sarapan atau sekadar mengganjal perut."
https://bisnis.tempo.co/read/1773049/akankah-harga-beras-turun-setelah-pemerintah-menggelontorkan-bansos-ini-analisa-pakar,"Akankah Harga Beras Turun setelah Pemerintah Menggelontorkan Bansos? Ini Analisa Pakar","Direktur Utama Perum Bulog alias Buwas optimistis harga beras medium bakal turun usai bantuan sosial atau Bansos beras digelontorkan."
https://dunia.tempo.co/read/1773062/sepekan-berkunjung-ke-rusia-kim-jong-un-pulang-kampung,"Sepekan Berkunjung ke Rusia, Kim Jong Un Pulang Kampung","Seperti saat kedatangan, kepulangan Kim Jong Un juga menggunakan kereta api. Ia diberi oleh-oleh sebuah rompi peluru dan enam drone."
https://nasional.tempo.co/read/1773060/demokrat-dukung-prabowo-viva-yoga-sebut-sby-merasa-nyaman-di-kim-seperti-rumah-sendiri,"Demokrat Dukung Prabowo, Viva Yoga Sebut SBY Merasa Nyaman di KIM, Seperti Rumah Sendiri","Wakil Ketua Umum PAN Viva Yoga Mauladi mengatakan Partai Demokrat menyampaikan dukungannya kepada Prabowo Subianto dalam pertemuan di Hambalang"
https://tekno.tempo.co/read/1773058/pengguna-x-premium-bisa-menyembunyikan-tab-likes,"Pengguna X Premium Bisa Menyembunyikan Tab Likes","Pengguna media sosial X dulu Twitter kini bisa menyembunyikan tab Likes miliknya, tapi harus berlangganan"
https://metro.tempo.co/read/1773059/relawan-ngotot-dukung-kaesang-maju-pilkada-depok,"Relawan Ngotot Dukung Kaesang Maju Pilkada Depok","Kelompok relawan Sang Menang berkukuh menginginkan Kaesang bertarung di Pilkada Depok 2024 meski Presiden Jokowi bilang anaknya tak akan maju"
https://seleb.tempo.co/read/1773051/profil-5-pemeran-film-aquaman-2,"Profil 5 Pemeran Film Aquaman 2","Film Aquaman 2 masih dibintangi Jason Momoa sebagai Arthur Curry (Aquaman), dia akan beradu akting seperti Yahya Abdul-Mateen II, Amber Heard."
https://metro.tempo.co/read/1773055/ada-operasi-zebra-mulai-besok-ini-15-pelanggaran-yang-disasar-polda-metro-jaya,"Ada Operasi Zebra Mulai Besok, Ini 15 Pelanggaran yang Disasar Polda Metro Jay","Polda Metro Jaya akan menggelar Operasi Zebra 2023 mulai besok, Senin, 18 September hingga 1 Oktober 2023."
https://bisnis.tempo.co/read/1773013/kekeringan-lumajang-periode-habis-cak-doktor-bupati-dan-ironi-irigasi,"Kekeringan Lumajang, Periode Habis Cak Doktor Bupati dan Ironi Irigasi","Bupati Lumajang, Thoriqul Haq saat dikonfirmasi TEMPO membenarkan ihwal kebocoran bendung non permanen itu."
https://sport.tempo.co/read/1773054/hasil-hong-kong-open-2023-leo-daniel-kalah-di-final-indonesia-hanya-raih-2-gelar-juara,"Hasil Hong Kong Open 2023: Leo / Daniel Kalah di Final, Indonesia Hanya Raih 2 Gelar Juar","Leo Rolly Carnando/Daniel Marthin (Leo / Daniel) gagal menjuarai turnamen bulu tangkis Hong Kong Open 2023. Indonesia hanya meraih dua gelar."
https://metro.tempo.co/read/1773053/kali-bekasi-tercemar-limbah-industri-pemkot-bakal-andalkan-kalimalang-untuk-air-pam,"Kali Bekasi Tercemar Limbah Industri, Pemkot Bakal Andalkan Kalimalang untuk Air PAM","Pemerintah Kota Bekasi mengucurkan dana Rp45 miliar untuk mengatasi air olahan Perumda Tirta Patriot yang kerap terganggu karena pencemaran"
https://travel.tempo.co/read/1773047/mau-ikut-uji-coba-kereta-cepat-jakarta-bandung-gratis-simak-caranya,"Mau Ikut Uji Coba Kereta Cepat Jakarta-Bandung Gratis? Simak Carany","Uji coba operasional kereta cepat Jakarta-Bandung dilakukan 18 hingga 30 September 2023, pendaftaran dimulai hari ini."
https://otomotif.tempo.co/read/1773050/apa-saja-syarat-membuat-sim-a,"Apa Saja Syarat Membuat SIM A?","Di Indonesia, terdapat dua kategori SIM A yang berlaku, yaitu untuk individu dan untuk umum, dengan syarat mobil tidak melebihi berat 3.500 kg."
https://nasional.tempo.co/read/1773048/pan-sebut-demokrat-merapat-ke-koalisi-prabowo-tak-bawa-usulan-bacawapres,"PAN Sebut Demokrat Merapat ke Koalisi Prabowo, Tak Bawa Usulan Bacawapres","Viva Yoga menyebut pertemuan Partai Demokrat dengan mitra partai Koalisi Indonesia Maju (KIM) dalam rangka menyampaikan dukungan ke Prabowo"
https://bisnis.tempo.co/read/1773044/jasa-marga-lakukan-pengalihan-akses-keluar-sadang-dari-arah-bandung-di-ruas-tol-cipularang-mulai-besok,"Jasa Marga Lakukan Pengalihan Akses Keluar Sadang dari Arah Bandung di Ruas Tol Cipularang Mulai Besok","PT Jasa Marga mengalihkan sementara akses keluar Sadang dari Arah Bandung di ruas Tol Cipularang."
https://dunia.tempo.co/read/1773046/mahkamah-dunia-sidangkan-keberatan-rusia-untuk-kasus-genosida-ukraina,"Mahkamah Dunia Sidangkan Keberatan Rusia untuk Kasus Genosida Ukrain","Para pejabat Rusia terus menuduh Ukraina melakukan genosida untuk membenarkan invasi mereka."
https://seleb.tempo.co/read/1773045/sinopsis-film-aquaman-2-bakal-tayang-20-desember,"Sinopsis Film Aquaman 2, Bakal Tayang 20 Desember","Film Aquaman 2 tentang perubahan karakter Arthur Curry (Aquaman) menjadi seorang ayah dan beradaptasi dengan perannya sebagai Raja Atlantis."
https://seleb.tempo.co/read/1773041/sinopsis-aquaman-2-upaya-mempertahankan-kerajaan,"Sinopsis Aquaman 2: Upaya Mempertahankan Kerajaan","Film Aquaman 2 mulanya direncanakan untuk rilis pada 17 Maret 2023 yang akhirnya mundur sampai Desember."
https://sport.tempo.co/read/1773042/jonatan-christie-menang-di-final-hong-kong-open-2023-berapa-gelar-yang-sudah-dia-kumpulkan,"Jonatan Christie Menang di Final Hong Kong Open 2023, Berapa Gelar yang Sudah Dia Kumpulkan?","Jonatan Christie berhasil menjuarai turnamen bulu tangkis Hong Kong Open 2023. Pemain tunggal putra Indonesia ini mengalahkan Kenta Nishimoto."
https://nasional.tempo.co/read/1773040/survei-prc-september-elektabilitas-ganjar-404-persen-ungguli-prabowo-dan-anies,"Survei PRC September: Elektabilitas Ganjar 40,4 Persen Ungguli Prabowo dan Anies","Hasil survei teranyar dari Politika Research & Consulting (PRC)  menunjukkan bahwa elektabilitas Ganjar Pranowo unggul dari Prabowo dan Anies"
https://gaya.tempo.co/read/1773035/mengenali-kondisi-mata-minus,"Mengenali Kondisi Mata Minus"," Mata minus tak bisa berfokus secara jelas terhadap objek jauh"
https://travel.tempo.co/read/1773039/cara-refund-tiket-museum-nasional-yang-tutup-sementara-setelah-kebakaran,"Cara Refund Tiket Museum Nasional yang Tutup Sementara setelah Kebakaran","Pengembalian tiket Museum Nasional yang sudah dibeli untuk kunjungan hingga 30 September 2023 akan dilakukan bertahap mulai Ahad, 17 September."
https://sport.tempo.co/read/1773038/hasil-hong-kong-open-2023-jonatan-christie-raih-gelar-juara-ikuti-jejak-apriyani-fadia,"Hasil Hong Kong Open 2023: Jonatan Christie Raih Gelar Juara, Ikuti Jejak Apriyani / Fadi","Duel Jonatan Christie melawan Kenta Nishimoto di final Hong Kong Open 2023 yang berlangsung 83 menit dberakhir dengan skor 12-21, 22-20, 21-18."
https://metro.tempo.co/read/1773036/curhat-pedagang-tanah-abang-katanya-ekonomi-bakal-bangkit-ternyata-terpuruk,"Curhat Pedagang Tanah Abang: Katanya Ekonomi Bakal Bangkit, Ternyata Terpuruk"," Pedagang Blok G Tanah Abang mengeluhkan minimnya pendapatan mereka karena pengunjung yang kian sepi dan kondisi pasar yang tak terurus."
https://bisnis.tempo.co/read/1773025/terkini-bisnis-menteri-bahlil-gelar-rakor-soal-pulau-rempang-di-batam-98-persen-tiket-kereta-cepat-jakarta-bandung-sudah-dipesan,"Terkini Bisnis: Menteri Bahlil Gelar Rakor Soal Pulau Rempang di Batam, 98 Persen Tiket Kereta Cepat Jakarta-Bandung Sudah Dipesan","Menteri Bahlil diutus Presiden Jokowi untuk pergi ke Pulau Rempang, Batam, Kepulauan Riau, untuk membereskan konflik soal proyek Rempang Eco City."
https://gaya.tempo.co/read/1773032/menjaga-kesehatan-hati-ini-5-asupan-makanannya,"Menjaga Kesehatan Hati, Ini 5 Asupan Makananny","Sayuran hijau bermanfaat menjaga kesehatan hati atau liver, yaitu bayam dan brokoli"
https://gaya.tempo.co/read/1773030/bolehkan-penderita-diabetes-minum-madu,"Bolehkan Penderita Diabetes Minum Madu?","Penderita diabetes sebaiknya selalu berkonsultasi dengan dokter atau ahli gizi sebelum minum madu."
